"comment","label"
"下河 杨桃 特级",0
"新 果度 金 枕 榴莲",0
"特选 木瓜",0
"佳沛 金 奇异 果",0
"佳沛 绿 奇异 果",0
"台湾 莲雾",0
"翠香 猕猴 桃 粒",0
"台湾蜜 释迦",0
"台湾 红心 芭乐",0
"冻 榴莲 肉",0
"榴莲 干",0
"海南 莲雾 粒",0
"紫色 番茄",0
"火焰 红 葡萄",0
"无籽 红 提",0
"牛油果",0
"红妃 番茄",0
"红颜 草莓",0
"佳沛 绿 奇果 王 粒",0
"红树莓",0
"火 参 果",0
"山竹",0
"木瓜",0
"台湾 杨桃",0
"美国 红 提",0
"泰国 莲雾 粒",0
"牛奶 草莓",0
"正牌 金 枕 榴莲",0
"青 提",0
"澳洲 无籽 红 提",0
"红石榴",0
"金 吉达 香蕉",0
"金果王 个 装",0
"佳沛 金 奇异 果 王 粒",0
"越南 白 心 火龙果",0
"香蜜 凤梨",0
"有机 蓝莓",0
"无花果",0
"佳沛 金果王",0
"红心 猕猴桃",0
"无花果 粒",0
"云南 石榴 粒",0
"新 果度 金 枕 榴莲",0
"湿 花生",0
"佳沃 金 枕 榴莲",0
"凤梨",0
"蓝莓",0
"夏 黑 葡萄",0
"越南 红心 火龙果",0
"麒麟 果",0
"蛇皮 果",0
"美国 红 苹果",0
"泰国 榴莲 王",0
"黄色 番茄",0
"百 香 果",0
"台湾 珍珠 芭乐个",0
"香甜 脆柿",0
"凤梨",0
"台湾 释迦 个 装",0
"特特 香蕉",0
"车 厘子",0
"奶油 草莓",0
"国产 金 奇异 果",0
"凤梨",0
"释迦",0
"椰冻",0
"青 提",0
"红 提",0
"佳沛 甜心 奇异 果",0
"佳沛 金 奇异 果王",0
"佳沛 绿 奇异 果",0
"佳沛 金 奇异 果",0
"菠萝蜜",0
"马来西亚 榴莲 班戟",0
"马来西亚 榴莲 大福",0
"马来西亚 榴莲 班戟",0
"马来西亚 榴莲 大福",0
"软柿",0
"百 香 果",0
"凤梨",0
"牛油果",0
"台湾 珍珠 芭乐",0
"百 香 果",0
"马来西亚 榴莲 大福",0
"马来西亚 榴莲 班戟",0
"红树莓",0
"红颜 草莓",0
"冻 榴莲 肉",0
"台湾 红心 芭乐",0
"台湾蜜 释迦个",0
"台湾 莲雾 粒",0
"特选 木瓜 个",0
"红心 火龙果 粒",0
"马来西亚 榴莲",0
"百 香 果",0
"盒装 精品 千禧 小 西红柿",0
"紫色 圣女果",0
"美国 无籽 红 提",0
"紫色 番茄 约 盒",0
"火龙果",0
"佳沛 金 奇异 果 王 粒",0
"金 吉达 香蕉",0
"火焰 红",0
"火 参 果",0
"台湾 木瓜",0
"正牌 金 枕 榴莲",0
"青 提 约 盒",0
"台湾 杨桃",0
"香甜 脆柿",0
"红心 火龙果",0
"牛奶 草莓",0
"有机 蓝莓",0
"有机 蓝莓",0
"无花果",0
"无花果",0
"佳沛 金果王",0
"佳沛 金果王",0
"新 果度 金 枕 榴莲",0
"湿 花生",0
"佳沃 金 枕 榴莲",0
"牛油果",0
"麒麟 果",0
"蛇皮 果",0
"美国 红 苹果 粒",0
"泰国 榴莲 王",0
"黄色 番茄 约 份",0
"佳沛 绿 奇果 王 粒",0
"红石榴",0
"红石榴",0
"火龙果",0
"特选 木瓜 个",0
"榴莲 干",0
"海南 莲雾 粒",0
"沃美 火山 蕃茄",0
"夏 黑 葡萄",0
"澳洲 无籽 红 提",0
"进口 佳沃 蓝莓 盒装",0
"赣南 脐橙",0
"进口 红 西柚 个 装",0
"云南 红 树莓盒",0
"车 厘子",0
"红 樱桃 小 番茄 一 斤 装",0
"美国 柠檬 个 装",0
"香蕉",0
"牛油果",0
"车 厘子 礼盒",0
"火 参 果",0
"进口 皇帝 蕉",0
"菱角",0
"白 提",0
"福安 巨峰 葡萄",0
"都 乐 香蕉 h",0
"山竹",0
"下河 杨桃 特级",0
"正牌 金 枕 榴莲",0
"珍珠 小 西红柿",0
"金钱柿",0
"泰国 榴莲 王",0
"本地 芭乐",0
"湿 花生",0
"草莓 大",0
"都 乐 帝王蕉",0
"都 乐超甜蕉",0
"炮弹柿",0
"硬柿",0
"番荔枝",0
"夏 黑 葡萄",0
"徐香 猕猴桃",0
"小 西红柿 中",0
"台湾 莲雾",0
"台湾 木瓜",0
"火焰 红 葡萄",0
"火龙果",0
"百 香 果",0
"石榴",0
"白 葡萄",0
"沙县柿",0
"正柿",0
"软柿",0
"夏 黑 葡萄",0
"无花果",0
"菠萝蜜",0
"半边天 黑 珍珠 小 西红柿",0
"半边天 蛋黄 小 西红柿",0
"半边天 夏日 阳光 小 西红柿",0
"户 太 八号 葡萄",0
"富有 甜柿",0
"冠熟 木瓜",0
"黑 藤 巨峰",0
"佛手 果",0
"精品 草莓",0
"绿宝石 西红柿",0
"都 乐 宝贝蕉",0
"桑果",0
"精品 紫心瓜",0
"仙人掌 果",0
"半边天 香蕉",0
"鲜 罗汉果",0
"红心 芭乐",0
"加丽金 钻 凤梨",0
"波 蜜柚",0
"西域 香妃 红 提",0
"加丽冠 熟 木瓜",0
"西域 香妃 无籽露",0
"西域 香妃 红宝石榴",0
"美早 樱桃",0
"山竹 a",0
"香水 菠萝",0
"小 西红柿",0
"弹头柿",0
"甜角",0
"月柿",0
"台湾 菠萝",0
"车 厘子 xl",0
"会理 石榴",0
"冰川 红提",0
"澳洲 无籽 红 提",0
"牛油果",0
"都 乐金 菠萝",0
"台湾 杨桃",0
"原 箱 佳沛 新西兰 金 奇异 果",0
"原 箱 佳沛 新西兰 绿 奇异 果",0
"j 智利 车厘子",0
"牛油果",0
"户 太 八号 葡萄",0
"菱角",0
"雪莲 果",0
"巨峰 葡萄",0
"本地 芭乐",0
"黄 圣女 果",0
"莲雾",0
"特特 香蕉",0
"石榴",0
"香蕉",0
"火龙果",0
"皇帝 蕉",0
"香甜 脆柿",0
"红心 火龙果",0
"小 西红柿",0
"红 提",0
"青 提",0
"无籽 红 提",0
"山竹",0
"葡萄",0
"木瓜",0
"猕猴桃",0
"杨桃",0
"本地 红 提",0
"无籽 黑 提",0
"车 厘子",0
"榴莲",0
"美国 柠檬 个 装",0
"进口 红 西柚 个 装",0
"蓝莓 原 箱 盒装",0
"原 箱 佳沛 绿 果 王 个 装",0
"红心 番 石榴 个 装",0
"佳沛 新西兰 金 奇异 果王 个 装",0
"进口车 厘子",0
"红心 木瓜",0
"无花 果盒",0
"原 箱 红 提",0
"鲜 枸杞",0
"原 箱 佳 沛金 果 粒 装",0
"佳沛 金果 个 装",0
"进口 红 莓盒",0
"菲律宾 优质 木瓜 个 装",0
"赣南 脐橙",0
"原 箱 黑 提",0
"佳沃 蓝莓盒",0
"有机 蓝宝石蓝 莓盒",0
"红石榴 个 装",0
"软籽 石榴 个 装",0
"新疆 红 提",0
"脆柿 只 装",0
"脆柿 只 装",0
"越南 红心 火龙果 个装",0
"原 箱 佳沛 新西兰 绿 奇异 果",0
"原 箱 佳沛 新西兰 金 奇异 果",0
"墨西哥 牛油 果粒",0
"原 箱 墨西哥 牛油 果",0
"原 箱 红心 奇异 果",0
"四川 会理 石榴",0
"原 箱 加拿大 蓝莓",0
"原 箱 越南 红 肉 火龙果",0
"泰国 山竹",0
"原 箱 泰国 山竹",0
"原 箱 云南 无花果",0
"原 箱 海南 木瓜",0
"佳沛 新西兰 甜心 绿果",0
"进口车 厘子",0
"国产 红 提",0
"台湾 杨桃",0
"红 地球 红 提",0
"台湾 莲雾",0
"进口 凤梨 个装",0
"佳沛 金果个",0
"红 樱桃 小 番茄",0
"百 香 果 只 装",0
"原 箱 车 厘子",0
"进口 红 提 kg",0
"樱桃 kg",0
"原 箱 佳沛 绿 果 粒 装",0
"进口 佳沃 蓝莓 盒装",0
"佳沛 原 箱 绿 果 粒 装",0
"红树莓盒",0
"特特 香蕉",0
"国产 蓝莓 盒装",0
"新西兰 佳沛 金果粒",0
"红 樱桃 小 番茄 kg",0
"智利 蓝莓盒",0
"释迦 个 装",0
"桑葚 个 装",0
"进口 金 奇异 果 个 装",0
"进口 金 奇异 果 个 装",0
"进口 金 奇异 果 个 装",0
"以色列 红西柚 个 装",0
"红 樱桃 小 番茄 kg",0
"智利 蓝莓盒",0
"释迦 个 装",0
"桑葚 盒装",0
"进口 金 奇异 果 个 装",0
"进口 金 奇异 果 个 装",0
"进口 金 奇异 果 个 装",0
"悠然 绿 奇异 果 粒 装",0
"悠然 金 奇异 果粒",0
"悠然 绿 奇异 果 礼盒",0
"红心 芭乐",0
"无籽 红 提",0
"云南 夏 黑 葡萄",0
"克瑞森 无籽 红 提",0
"新疆 火焰山 无 核红 提",0
"玫瑰 香 葡萄",0
"无籽 青提",0
"陕西 户 太 八号 葡萄",0
"云南 红 提 kg",0
"夏 黑 无籽 葡萄",0
"马陆 葡萄",0
"南非 无籽 红 提",0
"进口 青提",0
"美国 加洲 黑 提",0
"进口 黑 提",0
"澳洲 无籽 红 提",0
"美国 加洲 红 提",0
